[[0, 8], [1, 9], [2, 10], [3, 11], [4, 12], [5, 13], [6, 14], [7, 15], [8, 0], [9, 1], [10, 2], [11, 3], [12, 4], [13, 5], [14, 6], [15, 7]]
SIZE 8192, REAL_BD 5.926 GB/s, BD/PAIR 370.376 MB/s, time 2.212e-03 s, comm_vol 13.107 MB
SIZE 16384, REAL_BD 11.778 GB/s, BD/PAIR 736.149 MB/s, time 2.226e-03 s, comm_vol 26.214 MB
SIZE 24576, REAL_BD 18.801 GB/s, BD/PAIR 1.175 GB/s, time 2.091e-03 s, comm_vol 39.322 MB
SIZE 32768, REAL_BD 25.618 GB/s, BD/PAIR 1.601 GB/s, time 2.047e-03 s, comm_vol 52.429 MB
SIZE 40960, REAL_BD 25.615 GB/s, BD/PAIR 1.601 GB/s, time 2.558e-03 s, comm_vol 65.536 MB
SIZE 49152, REAL_BD 30.036 GB/s, BD/PAIR 1.877 GB/s, time 2.618e-03 s, comm_vol 78.643 MB
SIZE 57344, REAL_BD 34.268 GB/s, BD/PAIR 2.142 GB/s, time 2.677e-03 s, comm_vol 91.75 MB
SIZE 65536, REAL_BD 38.64 GB/s, BD/PAIR 2.415 GB/s, time 2.714e-03 s, comm_vol 104.858 MB
SIZE 81920, REAL_BD 39.734 GB/s, BD/PAIR 2.483 GB/s, time 3.299e-03 s, comm_vol 131.072 MB
SIZE 98304, REAL_BD 47.166 GB/s, BD/PAIR 2.948 GB/s, time 3.335e-03 s, comm_vol 157.286 MB
SIZE 114688, REAL_BD 46.301 GB/s, BD/PAIR 2.894 GB/s, time 3.963e-03 s, comm_vol 183.501 MB
SIZE 131072, REAL_BD 65.379 GB/s, BD/PAIR 4.086 GB/s, time 3.208e-03 s, comm_vol 209.715 MB
SIZE 163840, REAL_BD 80.645 GB/s, BD/PAIR 5.04 GB/s, time 3.251e-03 s, comm_vol 262.144 MB
SIZE 196608, REAL_BD 96.223 GB/s, BD/PAIR 6.014 GB/s, time 3.269e-03 s, comm_vol 314.573 MB
SIZE 229376, REAL_BD 104.184 GB/s, BD/PAIR 6.511 GB/s, time 3.523e-03 s, comm_vol 367.002 MB
SIZE 262144, REAL_BD 123.74 GB/s, BD/PAIR 7.734 GB/s, time 3.390e-03 s, comm_vol 419.43 MB
SIZE 327680, REAL_BD 129.958 GB/s, BD/PAIR 8.122 GB/s, time 4.034e-03 s, comm_vol 524.288 MB
SIZE 393216, REAL_BD 150.181 GB/s, BD/PAIR 9.386 GB/s, time 4.189e-03 s, comm_vol 629.146 MB
SIZE 458752, REAL_BD 151.694 GB/s, BD/PAIR 9.481 GB/s, time 4.839e-03 s, comm_vol 734.003 MB
SIZE 524288, REAL_BD 170.475 GB/s, BD/PAIR 10.655 GB/s, time 4.921e-03 s, comm_vol 838.861 MB
SIZE 655360, REAL_BD 181.34 GB/s, BD/PAIR 11.334 GB/s, time 5.782e-03 s, comm_vol 1.049 GB
SIZE 786432, REAL_BD 191.005 GB/s, BD/PAIR 11.938 GB/s, time 6.588e-03 s, comm_vol 1.258 GB
SIZE 917504, REAL_BD 200.739 GB/s, BD/PAIR 12.546 GB/s, time 7.313e-03 s, comm_vol 1.468 GB
SIZE 1048576, REAL_BD 207.988 GB/s, BD/PAIR 12.999 GB/s, time 8.066e-03 s, comm_vol 1.678 GB
SIZE 1310720, REAL_BD 210.69 GB/s, BD/PAIR 13.168 GB/s, time 9.954e-03 s, comm_vol 2.097 GB
SIZE 1572864, REAL_BD 218.243 GB/s, BD/PAIR 13.64 GB/s, time 1.153e-02 s, comm_vol 2.517 GB
SIZE 1835008, REAL_BD 224.701 GB/s, BD/PAIR 14.044 GB/s, time 1.307e-02 s, comm_vol 2.936 GB
SIZE 2097152, REAL_BD 304.356 GB/s, BD/PAIR 19.022 GB/s, time 1.102e-02 s, comm_vol 3.355 GB
SIZE 2621440, REAL_BD 314.416 GB/s, BD/PAIR 19.651 GB/s, time 1.334e-02 s, comm_vol 4.194 GB
SIZE 3145728, REAL_BD 318.156 GB/s, BD/PAIR 19.885 GB/s, time 1.582e-02 s, comm_vol 5.033 GB
SIZE 3670016, REAL_BD 327.262 GB/s, BD/PAIR 20.454 GB/s, time 1.794e-02 s, comm_vol 5.872 GB
SIZE 4194304, REAL_BD 329.673 GB/s, BD/PAIR 20.605 GB/s, time 2.036e-02 s, comm_vol 6.711 GB
SIZE 5242880, REAL_BD 338.275 GB/s, BD/PAIR 21.142 GB/s, time 2.480e-02 s, comm_vol 8.389 GB
SIZE 6291456, REAL_BD 344.767 GB/s, BD/PAIR 21.548 GB/s, time 2.920e-02 s, comm_vol 10.066 GB
SIZE 7340032, REAL_BD 346.14 GB/s, BD/PAIR 21.634 GB/s, time 3.393e-02 s, comm_vol 11.744 GB
SIZE 8388608, REAL_BD 351.207 GB/s, BD/PAIR 21.95 GB/s, time 3.822e-02 s, comm_vol 13.422 GB
SIZE 10485760, REAL_BD 353.79 GB/s, BD/PAIR 22.112 GB/s, time 4.742e-02 s, comm_vol 16.777 GB
SIZE 12582912, REAL_BD 357.094 GB/s, BD/PAIR 22.318 GB/s, time 5.638e-02 s, comm_vol 20.133 GB
SIZE 14680064, REAL_BD 358.124 GB/s, BD/PAIR 22.383 GB/s, time 6.559e-02 s, comm_vol 23.488 GB
SIZE 16777216, REAL_BD 359.303 GB/s, BD/PAIR 22.456 GB/s, time 7.471e-02 s, comm_vol 26.844 GB
SIZE 20971520, REAL_BD 362.129 GB/s, BD/PAIR 22.633 GB/s, time 9.266e-02 s, comm_vol 33.554 GB
SIZE 25165824, REAL_BD 362.633 GB/s, BD/PAIR 22.665 GB/s, time 1.110e-01 s, comm_vol 40.265 GB
SIZE 29360128, REAL_BD 363.992 GB/s, BD/PAIR 22.749 GB/s, time 1.291e-01 s, comm_vol 46.976 GB
SIZE 33554432, REAL_BD 364.718 GB/s, BD/PAIR 22.795 GB/s, time 1.472e-01 s, comm_vol 53.687 GB
SIZE 41943040, REAL_BD 365.841 GB/s, BD/PAIR 22.865 GB/s, time 1.834e-01 s, comm_vol 67.109 GB
SIZE 50331648, REAL_BD 366.62 GB/s, BD/PAIR 22.914 GB/s, time 2.197e-01 s, comm_vol 80.531 GB
SIZE 58720256, REAL_BD 366.734 GB/s, BD/PAIR 22.921 GB/s, time 2.562e-01 s, comm_vol 93.952 GB
SIZE 67108864, REAL_BD 366.958 GB/s, BD/PAIR 22.935 GB/s, time 2.926e-01 s, comm_vol 107.374 GB
SIZE 83886080, REAL_BD 367.345 GB/s, BD/PAIR 22.959 GB/s, time 3.654e-01 s, comm_vol 134.218 GB
SIZE 100663296, REAL_BD 368.288 GB/s, BD/PAIR 23.018 GB/s, time 4.373e-01 s, comm_vol 161.061 GB
SIZE 117440512, REAL_BD 367.991 GB/s, BD/PAIR 22.999 GB/s, time 5.106e-01 s, comm_vol 187.905 GB
SIZE 134217728, REAL_BD 368.653 GB/s, BD/PAIR 23.041 GB/s, time 5.825e-01 s, comm_vol 214.748 GB
SIZE 167772160, REAL_BD 368.952 GB/s, BD/PAIR 23.059 GB/s, time 7.276e-01 s, comm_vol 268.435 GB
SIZE 201326592, REAL_BD 368.933 GB/s, BD/PAIR 23.058 GB/s, time 8.731e-01 s, comm_vol 322.123 GB
SIZE 234881024, REAL_BD 368.926 GB/s, BD/PAIR 23.058 GB/s, time 1.019e+00 s, comm_vol 375.81 GB
SIZE 268435456, REAL_BD 369.142 GB/s, BD/PAIR 23.071 GB/s, time 1.164e+00 s, comm_vol 429.497 GB
SIZE 335544320, REAL_BD 369.435 GB/s, BD/PAIR 23.09 GB/s, time 1.453e+00 s, comm_vol 536.871 GB
SIZE 402653184, REAL_BD 369.558 GB/s, BD/PAIR 23.097 GB/s, time 1.743e+00 s, comm_vol 644.245 GB
SIZE 469762048, REAL_BD 369.718 GB/s, BD/PAIR 23.107 GB/s, time 2.033e+00 s, comm_vol 751.619 GB
SIZE 536870912, REAL_BD 369.787 GB/s, BD/PAIR 23.112 GB/s, time 2.323e+00 s, comm_vol 858.993 GB
SIZE 671088640, REAL_BD 369.704 GB/s, BD/PAIR 23.107 GB/s, time 2.904e+00 s, comm_vol 1.074 TB
SIZE 805306368, REAL_BD 369.979 GB/s, BD/PAIR 23.124 GB/s, time 3.483e+00 s, comm_vol 1.288 TB
SIZE 939524096, REAL_BD 369.829 GB/s, BD/PAIR 23.114 GB/s, time 4.065e+00 s, comm_vol 1.503 TB
SIZE 1073741824, REAL_BD 369.931 GB/s, BD/PAIR 23.121 GB/s, time 4.644e+00 s, comm_vol 1.718 TB
