[[0, 1], [1, 0]]
SIZE 8192, REAL_BD 1.044 GB/s, BD/PAIR 522.026 MB/s, time 1.569e-03 s, comm_vol 1.638 MB
SIZE 16384, REAL_BD 3.023 GB/s, BD/PAIR 1.511 GB/s, time 1.084e-03 s, comm_vol 3.277 MB
SIZE 24576, REAL_BD 4.53 GB/s, BD/PAIR 2.265 GB/s, time 1.085e-03 s, comm_vol 4.915 MB
SIZE 32768, REAL_BD 6.048 GB/s, BD/PAIR 3.024 GB/s, time 1.084e-03 s, comm_vol 6.554 MB
SIZE 40960, REAL_BD 7.6 GB/s, BD/PAIR 3.8 GB/s, time 1.078e-03 s, comm_vol 8.192 MB
SIZE 49152, REAL_BD 9.136 GB/s, BD/PAIR 4.568 GB/s, time 1.076e-03 s, comm_vol 9.83 MB
SIZE 57344, REAL_BD 10.524 GB/s, BD/PAIR 5.262 GB/s, time 1.090e-03 s, comm_vol 11.469 MB
SIZE 65536, REAL_BD 12.024 GB/s, BD/PAIR 6.012 GB/s, time 1.090e-03 s, comm_vol 13.107 MB
SIZE 81920, REAL_BD 14.709 GB/s, BD/PAIR 7.354 GB/s, time 1.114e-03 s, comm_vol 16.384 MB
SIZE 98304, REAL_BD 17.662 GB/s, BD/PAIR 8.831 GB/s, time 1.113e-03 s, comm_vol 19.661 MB
SIZE 114688, REAL_BD 20.323 GB/s, BD/PAIR 10.161 GB/s, time 1.129e-03 s, comm_vol 22.938 MB
SIZE 131072, REAL_BD 23.29 GB/s, BD/PAIR 11.645 GB/s, time 1.126e-03 s, comm_vol 26.214 MB
SIZE 163840, REAL_BD 28.862 GB/s, BD/PAIR 14.431 GB/s, time 1.135e-03 s, comm_vol 32.768 MB
SIZE 196608, REAL_BD 33.894 GB/s, BD/PAIR 16.947 GB/s, time 1.160e-03 s, comm_vol 39.322 MB
SIZE 229376, REAL_BD 39.045 GB/s, BD/PAIR 19.523 GB/s, time 1.175e-03 s, comm_vol 45.875 MB
SIZE 262144, REAL_BD 45.182 GB/s, BD/PAIR 22.591 GB/s, time 1.160e-03 s, comm_vol 52.429 MB
SIZE 327680, REAL_BD 55.296 GB/s, BD/PAIR 27.648 GB/s, time 1.185e-03 s, comm_vol 65.536 MB
SIZE 393216, REAL_BD 63.752 GB/s, BD/PAIR 31.876 GB/s, time 1.234e-03 s, comm_vol 78.643 MB
SIZE 458752, REAL_BD 48.768 GB/s, BD/PAIR 24.384 GB/s, time 1.881e-03 s, comm_vol 91.75 MB
